Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,984.474976,991.000000,978.450012,987.200012,888.352112,1001382
2015-01-02,986.000000,1009.530029,986.000000,1006.599976,905.809570,3389160
2015-01-05,1004.950012,1015.000000,988.750000,997.950012,898.025818,4968512
2015-01-06,990.000000,992.500000,967.049988,977.099976,879.263489,4833658
2015-01-07,982.500000,987.375000,975.000000,981.775024,883.470398,3624958
2015-01-08,992.799988,998.500000,975.000000,986.724976,887.924683,6782460
2015-01-09,990.049988,1054.500000,956.525024,1037.219971,933.363647,22431664
2015-01-12,1046.000000,1059.599976,1037.500000,1057.969971,952.035950,6379444
2015-01-13,1053.900024,1053.900024,1037.500000,1044.449951,939.869629,4400618
2015-01-14,1049.250000,1066.500000,1046.300049,1064.319946,957.750183,4960630
2015-01-15,1067.599976,1076.400024,1056.119995,1067.119995,960.269775,4171226
2015-01-16,1074.000000,1080.000000,1056.000000,1059.150024,953.097961,3345480
2015-01-19,1060.000000,1066.180054,1047.300049,1051.250000,945.988892,2043872
2015-01-20,1053.500000,1066.500000,1050.719971,1062.099976,955.752502,3402252
2015-01-21,1065.750000,1087.969971,1059.000000,1084.949951,976.314392,4247454
2015-01-22,1087.400024,1101.500000,1080.650024,1098.219971,988.255737,4979198
2015-01-23,1100.000000,1112.500000,1082.550049,1107.530029,996.633667,4743164
2015-01-27,1107.530029,1110.500000,1065.050049,1068.250000,961.286682,6869984
2015-01-28,1075.000000,1077.400024,1065.150024,1072.280029,964.913269,6567178
2015-01-29,1072.500000,1074.949951,1063.800049,1072.750000,965.336060,7684712
2015-01-30,1080.750000,1081.280029,1063.469971,1070.949951,963.716309,5416872
2015-02-02,1070.750000,1076.000000,1063.030029,1068.430054,961.448608,4351270
2015-02-03,1068.430054,1069.969971,1051.000000,1060.449951,954.267639,2632978
2015-02-04,1069.949951,1075.000000,1063.199951,1071.430054,964.148193,2580008
2015-02-05,1075.400024,1110.000000,1074.000000,1096.900024,987.067993,5937968
2015-02-06,1102.500000,1123.900024,1094.250000,1115.250000,1003.580566,3726864
2015-02-09,1100.000000,1127.000000,1100.000000,1124.449951,1011.859375,3268434
